age1,language1,dialect1,proficiency level1,language to learn1,dialect to learn1,proficiency level so far1,country1,occupation1,interests1,age2,language2,dialect2,proficiency level2,language to learn2,dialect to learn2,proficiency level so far2,country2,occupation2,interests2,match
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
37,Spanish,Canarian,novice,Malay,Banjar,novice,Germany,teacher,reading,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,0
42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
29,German,Low German,novice,Korean,Chungcheong,novice,China,volunteer,classical,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
29,German,Low German,novice,Korean,Chungcheong,novice,China,volunteer,classical,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,38,Chinese,Mandarin,fluent,Malay,Pontianak,novice,Malaysia,artist,r&b,1
38,Chinese,Mandarin,fluent,Malay,Pontianak,novice,Malaysia,artist,r&b,42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,1
42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,1
38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,1
38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,0
38,Chinese,Mandarin,fluent,Malay,Pontianak,novice,Malaysia,artist,r&b,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,0
42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,0
38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,0
38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,0
42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,0
42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,0
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,18,Japanese,Hiroshima Ben,novice,German,The Berlin Dialect,novice,Germany,artist,science fiction,0
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,42,Malay,Bangka,intermediate,Spanish,standard,novice,Japan,teacher,baking,0
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,25,French,Parisian,intermediate,Chinese,Wu,novice,Malaysia,teacher,kpop,0
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,46,French,Parisian,novice,Italian,Venetian,novice,China,artist,cooking,0
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,34,Japanese,Hakata Ben,native,English,British,intermediate,China,social worker,gymnastics,0
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,25,English,Canadian,native,German,Low German,fluent,US,social worker,tennis,0
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,0
42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,25,French,Parisian,intermediate,Chinese,Wu,novice,Malaysia,teacher,kpop,0
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,46,French,Parisian,novice,Italian,Venetian,novice,China,artist,cooking,0
21,English,Australian,native,Italian,Neapolitan,intermediate,Germany,volunteer,Asian Cuisine,47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,0
39,Spanish,Murcian,native,Italian,Sicilian,fluent,Spain,engineer,literature,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,0
37,English,Australian,native,Spanish,Castilian,intermediate,US,freelancer,salad,41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,0
37,Spanish,Canarian,novice,Malay,Banjar,novice,Germany,teacher,reading,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,0
25,French,Parisian,intermediate,Chinese,Wu,novice,Malaysia,teacher,kpop,46,French,Parisian,novice,Italian,Venetian,novice,China,artist,cooking,1